zone_id,gi_z_pooled,gi_z_single_sensor,class_pooled,class_single_sensor
LK1124005,2.274505280057797,2.333621537791147,hot_90,hot_90
LK1124010,1.9324748764169994,2.028303202950739,hot_90,hot_90
LK1124015,0.6186311885096263,0.7503868537657414,ns,ns
LK1124020,1.5004000044747587,1.5466802484930202,ns,ns
LK1124025,1.9115168658185129,1.9954661781632579,hot_90,hot_90
LK1124030,2.013431672856814,2.124045036350488,hot_90,hot_95
LK1124035,1.8941605077202772,1.960660627564928,hot_90,hot_90
LK1124040,1.642232144861871,1.693521082641612,ns,ns
LK1124045,1.2855415598872348,1.416850392066419,ns,ns
LK1124050,1.6418188714776794,1.7613730718335512,hot_90,hot_90
LK1124055,2.5697329704082286,2.695563106985887,hot_95,hot_95
LK1124060,2.679147784181268,2.7512901755450767,hot_95,hot_95
LK1124065,1.8842037836854888,1.960818913380618,hot_90,hot_90
LK1124070,2.8951283676166093,2.9946487834306716,hot_99,hot_99
LK1124075,2.8203150323167603,2.844765340378029,hot_95,hot_95
LK1124080,3.6032362321258193,3.6229208182869805,hot_99,hot_99
LK1124085,4.074076083088908,4.117426742975794,hot_99,hot_99
LK1124090,3.390552707925072,3.366575409748399,hot_99,hot_99
LK1124095,3.523976143839526,3.521031495260048,hot_99,hot_99
LK1124100,3.294457168016453,3.3324624181384785,hot_99,hot_99
LK1127005,1.834995135992667,1.8572897002509605,hot_90,hot_90
LK1127010,1.7284829778452107,1.746541873399962,ns,ns
LK1127015,2.9241588525488695,2.955285860109215,hot_99,hot_99
LK1127020,3.348659418755761,3.369125795130412,hot_99,hot_99
LK1127025,3.3825389120327376,3.31708166615428,hot_99,hot_99
LK1127030,3.5363272867640942,3.4920806886997346,hot_99,hot_99
LK1127035,2.9064349217240752,2.864020856992466,hot_95,hot_95
LK1127040,3.3468323270009757,3.3655201904382945,hot_99,hot_99
LK1127045,2.4528486539470364,2.4978509396972326,hot_95,hot_95
LK1127050,2.011657054522564,2.080961401330451,hot_90,hot_95
LK1127055,1.84347829151399,1.9280055266716716,hot_90,hot_90
LK1127060,2.2282561277242148,2.324710390642356,hot_95,hot_95
LK1127065,1.7686259439519623,1.8300018009256906,ns,ns
LK1127070,2.1360581603549016,2.2308684236803082,hot_90,hot_90
LK1127075,2.504177141516411,2.627051267487045,hot_95,hot_95
LK1127080,2.9273134433313532,3.024385275024047,hot_95,hot_95
LK1127085,2.873207988699635,2.9671552044744813,hot_99,hot_99
LK1127090,2.670288831716707,2.7627584552378694,hot_95,hot_95
LK1127095,2.554834524208392,2.6082809242288416,hot_95,hot_95
LK1127100,3.0512153358219996,3.195725571006174,hot_95,hot_99
LK1130005,3.0554747963700435,3.178027817703486,hot_95,hot_99
LK1130010,3.4033381990486387,3.532407679914394,hot_99,hot_99
LK1130015,3.789126599540477,3.9155284436606723,hot_99,hot_99
LK1130020,3.9164674928967873,3.999604676342655,hot_99,hot_99
